Date,Open,High,Low,Close,Volume,Change %
20-12-2005,33.32924236,33.64245038,33.08972691,33.20027161,5161213,-0.430995575
21-12-2005,33.53190483,33.82669261,33.03076851,33.29976273,5062086,0.299669595
22-12-2005,33.63508508,33.63508508,33.0160336,33.17816544,3512890,-0.365159629
23-12-2005,33.81931571,33.81931571,31.98795825,32.18693924,4116900,-2.987585912
26-12-2005,32.27907403,32.33803161,30.73513311,30.87147141,3006920,-4.086961561
27-12-2005,30.86040767,31.91058519,30.77565654,31.74476814,3006827,2.828814753
28-12-2005,32.05797459,32.05797459,31.32838138,31.4168148,3022371,-1.033094137
29-12-2005,31.61579424,32.09850739,31.51261998,31.81846046,5930340,1.278441697
30-12-2005,31.61580804,32.35277487,31.46841409,32.14642334,4609928,1.030731439
02-01-2006,32.27905787,32.4927797,31.84424962,31.9990139,2624347,-0.458556268
03-01-2006,32.05797739,32.64755009,32.03218382,32.58859253,2658087,1.842489992
04-01-2006,32.90549141,33.23712554,32.5812248,33.11552811,5887511,1.616932603
05-01-2006,33.37714913,33.46558548,32.7949468,32.97918701,3412789,-0.411713485
06-01-2006,32.4264727,33.37715864,32.4264727,32.96445847,3038039,-0.044660125
09-01-2006,33.31082401,34.19518176,32.94234356,34.04410553,9781556,3.275185198
10-01-2006,34.19516921,34.19516921,33.28133301,33.67192459,4616301,-1.093231656
12-01-2006,33.75299914,33.88565512,33.09710133,33.53559494,3014184,-0.404876325
13-01-2006,33.60560595,33.90039084,33.31081815,33.38819885,2012036,-0.439521314
16-01-2006,33.04550751,33.60560136,33.01602874,33.19658661,1562428,-0.573892124
17-01-2006,33.06024551,33.65718856,32.75071982,33.06024551,2438630,-0.410708175
18-01-2006,32.57386573,33.13027463,32.57386573,32.84654236,1841490,-0.646405228
19-01-2006,33.90039098,33.90039098,33.01603338,33.26660156,1356193,1.278853645
20-01-2006,33.48769587,33.67930651,33.16343215,33.33293152,1475756,0.199389036
23-01-2006,33.60560829,34.19149582,33.12658026,33.24449539,4180505,-0.265311578
24-01-2006,33.5319069,33.67193037,33.18553487,33.31450272,1988658,0.210583206
25-01-2006,33.67192994,33.67561515,33.02340261,33.15237045,2668325,-0.486671719
27-01-2006,33.53190431,33.90038757,33.35503455,33.76773453,2641041,1.856169156
30-01-2006,33.82669513,34.82159741,33.23712243,34.32414627,9753038,1.647761542
31-01-2006,34.56365285,35.15322544,34.48995736,34.77000427,5392132,1.298963121
01-02-2006,34.74790235,35.66542103,33.97408654,34.31677628,10092981,-1.303502851
02-02-2006,34.62261183,35.22692238,34.26886942,34.96530151,7248586,1.889819815
03-02-2006,34.7847518,36.07444202,34.72579423,35.63226318,8285054,1.907495835
06-02-2006,35.52172225,36.70086497,35.24167523,36.17393494,9473396,1.520172183
07-02-2006,36.25867984,36.77455415,35.96389494,36.53872681,6079653,1.008438454
08-02-2006,36.538728,37.1172451,35.55856358,36.65295792,6648337,0.312630241
10-02-2006,36.84825197,37.42308383,36.47976867,37.260952,7067262,1.65878585
13-02-2006,37.29042483,37.94632251,37.29042483,37.70681,3601013,1.196582422
14-02-2006,37.70681865,37.9389637,36.11865831,36.4355545,3725881,-3.371421484
15-02-2006,36.55346159,37.20935927,35.82386551,36.05232239,4541950,-1.051808109
16-02-2006,35.02425614,37.20935916,35.02425614,36.90351868,5375862,2.361002656
17-02-2006,37.28675094,37.57785359,35.74281013,35.89757156,5452690,-2.725884005
20-02-2006,36.03758917,36.51661717,35.4222229,36.13708115,4642000,0.667202744
21-02-2006,36.40607319,36.77455358,36.13708186,36.58294296,7167779,1.233806944
